English Wikipedia	English	Latn	en	5
Deutschsprachige Wikipedia	German	Latn	de	4
Wikipédia en français	French	Latn	fr	4
Wikipedia en español	Spanish	Latn	es	4
ウィキペディア日本語版	Japanese	Jpan	ja	4
Nederlandstalige Wikipedia	Dutch	Latn	nl	3
Wikipedia in italiano	Italian	Latn	it	3
Русская Википедия	Russian	Cyrl	ru	3
Svenskspråkiga Wikipedia	Swedish	Latn	sv	3
Polskojęzyczna Wikipedia	Polish	Latn	pl	3
Wikipedia tiếng Việt	Vietnamese	Latn	vi	3
Wikipédia em português	Portuguese	Latn	pt	3
ويكيبيديا العربية	Arabic	Arab	ar	3
中文维基百科	Chinese	Hans/Hant	zh	3
Українська Вікіпедія	Ukrainian	Cyrl	uk	3
Viquipèdia en català	Catalan	Latn	ca	3
Bokmål Wikipedia	Norwegian (Bokmål)	Latn	no	3
Suomenkielinen Wikipedia	Finnish	Latn	fi	3
Česká Wikipedie	Czech	Latn	cs	3
Magyar Wikipédia	Hungarian	Latn	hu	3
한국어 위키백과	Korean	Hang	ko	3
Wikipedia bahasa Indonesia	Indonesian	Latn	id	3
ויקיפדיה העברית	Hebrew	Hebr	he	3
ویکی‌پدیای فارسی	Persian	Perso	fa	3
วิกิพีเดียภาษาไทย	Thai	Thai	th	3
Wikipedya sa Sinugboanon	Cebuano	Latn	ceb	2
Türkçe Vikipedi	Turkish	Latn	tr	2
Wikipedia în română	Romanian	Latn	ro	2
Wikipedia ya Kiswahili	Swahili	Latn	sw	2
Dansk Wikipedia	Danish	Latn	da	2
Vikipedio en Esperanto	Esperanto	Latn	eo	2
Википедија на српском језику	Serbian	Cyrl/Latn	sr	2
Lietuviškoji Vikipedija	Lithuanian	Latn	lt	2
Slovenská Wikipedia	Slovak	Latn	sk	2
Българоезична Уикипедия	Bulgarian	Cyrl	bg	2
Slovenska Wikipedija	Slovene	Latn	sl	2
Euskarazko Wikipedia	Basque	Latn	eu	2
Eestikeelne Vikipeedia	Estonian	Latn	et	2
Hrvatska Wikipedija	Croatian	Latn	hr	2
తెలుగు వికీపీడియా	Telugu(తెలుగు)	Telu	te	2
Nynorsk Wikipedia	Norwegian (Nynorsk)	Latn	nn	2
Galipedia	Galician	Latn	gl	2
Ελληνική Βικιπαίδεια	Greek	Grek	el	2
Simple English Wikipedia	Simple English	Latn	simple	2
Wikipedia Bahasa Melayu	Malay	Latn	ms	2
Wikipedia na bosanskom jeziku	Bosnian	Latn	bs	2
ქართული ვიკიპედია	Georgian	Geor	ka	2
Wikipedia shqip	Albanian	Latn	sq	2
